YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3072,103.1015164,1.961482855,0.001792201,-19.601459020000004,5.556980133056641,-19.601459020000004,2.0,nan,nan,nan,5,0.5,none
3073,103.2026033,1.961652498,0.001923236,-3.1122586200000004,1.0732572078704834,-3.1122586200000004,2.0,nan,nan,nan,5,0.5,none
3074,103.223699,0.676087276,0.008737055,-69.89352024,0.28155380487442017,-69.89352024,2.0,nan,nan,nan,5,0.5,none
3075,103.2310269,0.908353466,0.00409986,-45.15971964,0.7533730864524841,-45.15971964,2.0,nan,nan,nan,5,0.5,none
3076,103.2318876,2.526018206,0.002543218,-1.4633385800000034,1.144684076309204,-1.4633385800000034,2.0,nan,nan,nan,5,0.5,none
3077,103.2368032,2.664112393,0.002171108,-2.2877986000000017,2.3996052742004395,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3078,103.2400115,1.970157566,0.005808978,-3.1122586200000004,1.194883942604065,-3.1122586200000004,2.0,nan,nan,nan,5,0.5,none
3079,103.3144848,0.22860004,0.004209868,-33.61727936,1.879686951637268,-33.61727936,2.0,nan,nan,nan,5,0.5,none
3080,103.3288256,1.787046231,0.002640111,-17.12807896,4.849639415740967,-17.12807896,2.0,nan,nan,nan,5,0.5,none
3081,103.3332029,1.786061246,0.002215195,-17.12807896,4.6933794021606445,-17.12807896,2.0,nan,nan,nan,5,0.5,none
3082,103.3486188,2.456655814,0.002288906,-1.4633385800000034,1.1659109592437744,-1.4633385800000034,2.0,nan,nan,nan,5,0.5,none
3083,103.4136153,1.216125944,0.003948155,-10.532398800000003,0.9366640448570251,-10.532398800000003,2.0,nan,nan,nan,5,0.5,none
3084,103.4468138,1.150920906,0.002072985,-10.532398800000003,1.8092809915542603,-10.532398800000003,2.0,nan,nan,nan,5,0.5,none
3085,103.4571259,3.0702629,0.003457495,-2.2877986000000017,3.0424461364746094,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3086,103.4622736,1.444045766,0.007597699,-55.877699899999996,0.3291698098182678,-55.877699899999996,2.0,nan,nan,nan,5,0.5,none
3087,103.4623553,1.721938566,0.001618764,-119.36112144,0.4106788635253906,-119.36112144,2.0,nan,nan,nan,5,0.5,none
3088,103.4624581,1.905004854,0.003007466,-17.952538979999996,0.8590516448020935,-17.952538979999996,2.0,nan,nan,nan,5,0.5,none
3089,103.465749,0.560258708,0.002094057,-6.4100987000000025,0.2761850357055664,-6.4100987000000025,2.0,nan,nan,nan,5,0.5,none
3090,103.4670836,1.546871715,0.003168144,-64.94676012,0.6089773178100586,-64.94676012,2.0,nan,nan,nan,5,0.5,none
3091,103.471401,1.54422599,0.002837696,-64.94676012,0.6664541959762573,-64.94676012,2.0,nan,nan,nan,5,0.5,none
3092,103.4787447,1.518745859,0.002852641,-64.94676012,1.1031054258346558,-64.94676012,2.0,nan,nan,nan,5,0.5,none
3093,103.4828264,0.531860994,0.003957673,-37.73957946,0.2978515625,-37.73957946,2.0,nan,nan,nan,5,0.5,none
3094,103.4834354,2.000915232,0.007292143,-17.952538979999996,6.685079574584961,-17.952538979999996,2.0,nan,nan,nan,5,0.5,none
3095,103.4966536,1.585152678,0.003121691,22.446001999999993,0.3288252353668213,22.446001999999993,2.0,nan,nan,nan,5,0.5,none
3096,103.5178924,1.527282008,0.006345035,-64.94676012,1.0881919860839844,-64.94676012,2.0,nan,nan,nan,5,0.5,none
3097,103.5294751,1.640659522,0.001823425,-30.319439279999997,0.35541462898254395,-30.319439279999997,2.0,nan,nan,nan,5,0.5,none
3098,103.6254428,0.750938505,0.002465982,-44.335259619999995,0.48650062084198,-44.335259619999995,2.0,nan,nan,nan,5,0.5,none
3099,103.6357287,2.201757076,0.010786189,-17.12807896,7.7345499992370605,-17.12807896,2.0,nan,nan,nan,5,0.5,none
3100,103.6398823,1.088886343,0.006317986,-55.877699899999996,2.1039583683013916,-55.877699899999996,2.0,nan,nan,nan,5,0.5,none
3101,103.6573603,1.406009911,0.002131443,-8.059018739999999,0.7068828344345093,-8.059018739999999,2.0,nan,nan,nan,5,0.5,none
3102,103.6895693,0.436411563,0.007953695,-60.0,1.9531762599945068,-60.0,2.0,nan,nan,nan,5,0.5,none
3103,103.7027604,2.507832294,0.004518161,-2.2877986000000017,1.6731061935424805,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3104,103.7121445,1.956575875,0.004223633,-2.2877986000000017,1.5592670440673828,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3105,103.727154,1.805496365,0.00360435,-60.0,0.6595432758331299,-60.0,2.0,nan,nan,nan,5,0.5,none
3106,103.7485206,2.182582142,0.005819863,-16.30361894,14.32253360748291,-16.30361894,2.0,nan,nan,nan,5,0.5,none
3107,103.7999546,1.39662465,0.005586844,-5.585638680000003,1.8144768476486206,-5.585638680000003,2.0,nan,nan,nan,5,0.5,none
3108,103.8009137,1.24491927,0.002823372,-78.13812044,0.356717586517334,-78.13812044,2.0,nan,nan,nan,5,0.5,none
3109,103.8023888,0.407564398,0.005066855,-63.29784008,3.4790098667144775,-63.29784008,2.0,nan,nan,nan,5,0.5,none
3110,103.8537316,1.233560337,0.003198136,-57.526619939999996,0.5767749547958374,-57.526619939999996,2.0,nan,nan,nan,5,0.5,none
3111,103.8749215,1.859200702,0.006840909,-18.776999000000004,11.441605567932129,-18.776999000000004,2.0,nan,nan,nan,5,0.5,none
3112,103.9551092,1.098284088,0.007060415,-58.35107996,1.1426546573638916,-58.35107996,2.0,nan,nan,nan,5,0.5,none
3113,103.9988404,2.224787884,0.00320329,-2.2877986000000017,3.0571932792663574,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3114,104.0114486,1.267227668,0.007002158,-52.579859819999996,2.579392194747925,-52.579859819999996,2.0,nan,nan,nan,5,0.5,none
3115,104.0548206,0.998112677,0.005258845,-56.70215992,1.4267271757125854,-56.70215992,2.0,nan,nan,nan,5,0.5,none
3116,104.1107558,1.70703898,0.005476101,22.446001999999993,0.3296775817871094,22.446001999999993,2.0,nan,nan,nan,5,0.5,none
3117,104.1326107,2.174415675,0.00244449,-2.2877986000000017,1.066405177116394,-2.2877986000000017,2.0,nan,nan,nan,5,0.5,none
3118,104.1358337,1.277610946,0.006869038,-48.457559720000006,2.732267141342163,-48.457559720000006,2.0,nan,nan,nan,5,0.5,none
3119,104.1677034,2.094610637,0.003482523,16.674781860000003,0.43843555450439453,16.674781860000003,2.0,nan,nan,nan,5,0.5,none
3120,104.1806176,0.177866194,0.004847297,-55.05323988,3.4819202423095703,-55.05323988,2.0,nan,nan,nan,5,0.5,none
