YB,Lon,Lat,Vlsr,+/-,Dist,+/-,Integrated Probability,Arm,Distance,+/-,Integrated Probability,Arm
3136,104.36,0.25,-56.7,0.07,3.16,0.07,0.47,Per,3.21,0.07,0.47,Per
3137,104.37,0.17,-67.4,0.07,6.43,0.07,0.06,Per,3.22,0.07,0.06,Per
3138,104.39,2.88,-79.8,0.07,7.64,0.07,0.01,...,3.21,0.07,0.01,...
3139,104.40,0.37,-56.7,0.07,3.16,0.07,0.45,Per,3.21,0.07,0.45,Per
3140,104.41,3.01,-64.1,0.07,6.25,0.07,0.03,Per,3.21,0.07,0.03,Per
3141,104.42,1.18,-22.9,0.11,2.79,0.11,0.34,Loc,0.80,0.11,0.34,Loc
3142,104.44,1.03,-1.5,0.00,0.76,0.00,0.00,...,0.00,0.00,0.00,...
3143,104.44,2.39,-37.7,0.00,3.44,0.00,0.00,...,0.00,0.00,0.00,...
3144,104.44,1.18,-23.7,0.11,2.83,0.11,0.32,Loc,0.80,0.11,0.32,Loc
3145,104.47,1.82,-41.9,0.76,3.17,0.76,0.30,...,4.08,0.76,0.30,...
3146,104.54,0.28,-56.7,0.07,3.16,0.07,0.46,Per,3.21,0.07,0.46,Per
3147,104.58,2.63,-23.7,0.11,2.76,0.11,0.34,Loc,0.82,0.11,0.34,Loc
3148,104.65,2.35,-63.3,0.26,6.14,0.26,0.17,Per,3.01,0.26,0.17,Per
3149,104.67,1.24,-16.3,0.86,0.80,0.86,0.29,...,2.45,0.86,0.29,...
3150,104.70,2.87,-24.5,0.11,2.81,0.11,0.33,Loc?,0.82,0.11,0.33,Loc?
3151,104.71,0.07,-53.4,0.00,3.16,0.00,0.00,...,0.00,0.00,0.00,...
3152,104.71,2.79,-60.0,0.26,5.87,0.26,0.23,Per,3.02,0.26,0.23,Per
3153,104.73,1.96,-22.1,0.11,2.67,0.11,0.38,Loc,0.81,0.11,0.38,Loc
3154,104.73,0.44,-65.8,0.07,6.20,0.07,0.08,Per,3.22,0.07,0.08,Per
3155,104.73,2.80,-60.0,0.26,5.87,0.26,0.23,Per,3.02,0.26,0.23,Per
3156,104.74,0.55,-68.2,0.07,6.52,0.07,0.04,Per,3.21,0.07,0.04,Per
3157,104.79,3.10,-7.2,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3158,104.86,0.87,-1.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3159,104.88,0.28,-55.1,0.00,3.22,0.00,0.00,...,0.00,0.00,0.00,...
3160,104.97,0.44,-51.8,0.04,3.14,0.04,0.07,Per,3.24,0.04,0.07,Per
3161,104.98,0.44,-31.1,0.11,3.29,0.11,0.18,Loc,0.82,0.11,0.18,Loc
3162,105.02,0.25,-55.1,0.00,3.00,0.00,0.00,...,0.00,0.00,0.00,...
3163,105.04,1.26,-1.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3164,105.12,1.23,-1.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3165,105.17,2.92,-25.4,0.11,2.85,0.11,0.31,Loc?,0.82,0.11,0.31,Loc?
3166,105.17,2.79,-99.6,0.82,6.57,0.82,0.48,OSC,10.89,0.82,0.48,OSC
3167,105.22,0.32,-44.3,0.00,3.00,0.00,0.00,...,0.00,0.00,0.00,...
3168,105.24,2.67,0.2,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3169,105.30,0.16,-48.5,0.01,2.99,0.01,0.00,...,2.31,0.01,0.00,...
3170,105.36,0.93,-2.3,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3171,105.36,0.28,-53.4,0.01,2.97,0.01,0.00,...,2.43,0.01,0.00,...
3172,105.38,0.79,-41.9,0.01,2.98,0.01,0.00,...,2.50,0.01,0.00,...
3173,105.38,2.70,-0.6,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3174,105.38,1.77,-140.0,0.00,17.96,0.00,0.00,...,0.00,0.00,0.00,...
3175,105.39,2.86,-0.6,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3176,105.44,0.81,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3177,105.50,0.62,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3178,105.51,0.23,-53.4,0.02,2.98,0.02,0.00,...,2.27,0.02,0.00,...
3179,105.56,0.07,-52.6,0.11,3.03,0.11,0.04,...,2.72,0.11,0.04,...
3180,105.57,0.07,-52.6,0.11,3.03,0.11,0.04,...,2.72,0.11,0.04,...
3181,105.58,0.30,-52.6,0.11,3.03,0.11,0.04,...,2.72,0.11,0.04,...
3182,105.60,2.27,-13.8,0.78,0.81,0.78,0.08,...,2.64,0.78,0.08,...
3183,105.60,0.84,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3184,105.63,0.34,-52.6,0.11,3.03,0.11,0.04,...,2.72,0.11,0.04,...
3185,105.67,1.66,-22.9,0.11,2.69,0.11,0.36,Loc,0.81,0.11,0.36,Loc
3186,105.71,0.02,-57.5,0.03,2.98,0.03,0.00,...,2.43,0.03,0.00,...
3187,105.72,1.76,-22.1,0.11,2.64,0.11,0.38,Loc,0.81,0.11,0.38,Loc
3188,105.73,1.76,-22.1,0.11,2.64,0.11,0.38,Loc,0.81,0.11,0.38,Loc
3189,105.74,1.81,-22.1,0.11,2.64,0.11,0.38,Loc,0.81,0.11,0.38,Loc
3190,105.75,1.81,-22.1,0.11,2.64,0.11,0.38,Loc,0.81,0.11,0.38,Loc
3191,105.76,0.33,-53.4,0.04,3.00,0.04,0.00,...,2.12,0.04,0.00,...
3192,105.81,1.64,-22.9,0.11,2.68,0.11,0.36,Loc,0.81,0.11,0.36,Loc
3193,105.83,2.91,-5.6,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3194,105.84,0.33,-50.9,0.04,3.00,0.04,0.00,...,2.11,0.04,0.00,...
3195,105.85,0.14,-45.2,0.04,3.02,0.04,0.00,...,2.08,0.04,0.00,...
3196,105.89,0.06,-59.2,1.54,2.98,1.54,0.28,...,4.96,1.54,0.28,...
