YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3148,104.6525128,2.347395619,0.007589453,-63.29784008,1.573021173,-63.29784008,2,0.2,0.2,0.2,5,0.5,none
3149,104.6697117,1.24160193,0.005060329,-16.30361894,0.908100128,-16.30361894,2,0.2,0.2,0.2,5,0.5,none
3150,104.7019475,2.874342832,0.004274094,-24.54821914,2.052725077,-24.54821914,2,0.2,0.2,0.2,5,0.5,none
3151,104.7113677,0.06937314,0.00530824,-53.40431984,2.487337828,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3152,104.7116937,2.788068605,0.004360956,-60,4.47410059,-60,2,0.2,0.2,0.2,5,0.5,none
3153,104.7250031,1.95827398,0.003065264,-22.07483908,1.080332994,-22.07483908,2,0.2,0.2,0.2,5,0.5,none
3154,104.7250923,0.442453166,0.007552366,-65.77122014,5.516963005,-65.77122014,2,0.2,0.2,0.2,5,0.5,none
3155,104.7286845,2.80091302,0.004123768,-60,3.663819551,-60,2,0.2,0.2,0.2,5,0.5,none
3156,104.7437623,0.545710413,0.004690098,-68.2446002,1.064041972,-68.2446002,2,0.2,0.2,0.2,5,0.5,none
3157,104.7874143,3.104748048,0.007183421,-7.23455872,0.746114433,-7.23455872,2,0.2,0.2,0.2,5,0.5,none
3158,104.8597529,0.868749256,0.003220881,-1.46333858,1.030853391,-1.46333858,2,0.2,0.2,0.2,5,0.5,none
3159,104.8786299,0.277409112,0.002840503,-55.05323988,2.956870794,-55.05323988,2,0.2,0.2,0.2,5,0.5,none
3160,104.9660681,0.438308822,0.002100482,-51.7553998,0.534073353,-51.7553998,2,0.2,0.2,0.2,5,0.5,none
3161,104.9788632,0.443139402,0.001856749,-31.1438993,0.472699642,-31.1438993,2,0.2,0.2,0.2,5,0.5,none
3162,105.0222635,0.253182958,0.001988197,-55.05323988,1.748015642,-55.05323988,2,0.2,0.2,0.2,5,0.5,none
3163,105.0382474,1.257379116,0.002778399,-1.46333858,2.131952524,-1.46333858,2,0.2,0.2,0.2,5,0.5,none
3164,105.1198733,1.22745564,0.00283573,-1.46333858,1.615021706,-1.46333858,2,0.2,0.2,0.2,5,0.5,none
