YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,Good fit,Multiple emission line
1271,31.83774072,-0.128719687,0.002590307,93.66213226317473,1.588265696167946,93.55304531326092,0.5352573626817331,0.1291468754394829,0.1380135051414969,0.13801350514149774,,
1272,31.8420179,-0.116447078,0.002059556,101.73849487303814,2.474339747428894,101.59660435258311,0.9722704638661684,0.0412125628767119,0.019516045270046595,0.01951604527004658,,
1273,31.91336826,0.195635525,0.00434474,107.90203475951284,2.207263854146004,107.83677056114558,0.9426348437518732,0.0419484589325066,0.02650058316608122,0.026500583166081188,,
1274,31.91596517,0.440003878,0.002672264,26.50080108641592,0.9660691112279892,26.63919422828977,1.0421052628037848,0.04008322701258365,0.07414207013524332,0.0741420701352433,,
1275,31.94677428,0.065421096,0.002146371,95.78749084471772,2.63136549587604,96.08864266622516,1.8083964046991263,0.03382507133904092,0.0268416860199995,0.026841686019999488,,
1276,31.98534351,-0.557388898,0.003577092,71.55840301512752,1.5513581782579422,71.57047710976977,0.5677221127613186,0.05574951407637347,0.11748689949639111,0.11748689949639207,,
1277,32.021994,0.066533466,0.002784923,97.91284942626072,4.612881277625954,96.63268386679194,2.0,0.0651644588522682,0.06027043555444332,0.060270435554443356,,
1278,32.03020732,0.049879578,0.004285314,95.78749084471772,3.7024667683638777,95.95771943784597,2.0,0.06452223866604663,0.06347768555876253,0.06347768555876256,,
1279,32.06321702,0.80790111,0.002337211,,0.299210299551487,109.43258776565344,2.0,0.037028596246965535,0.6467782564052149,0.6467782564052149,,
1280,32.06817744,-0.089799599,0.002753575,48.39199447630882,1.4724153757095335,48.65772764977077,1.223973999451743,0.05926406955051158,0.06348559193762222,0.06348559193762227,,
1281,32.10483484,-0.372784276,0.003855999,71.55840301512752,2.2697615504264834,71.83603540799582,0.7354668959486377,0.08109326165249642,0.04308814775366772,0.04308814775366773,,
1282,32.11265808,0.096554103,0.002391849,96.63763427733493,4.8488287925720215,96.33334698360903,1.5721716677284876,0.03878856988576058,0.01681431296522462,0.016814312965224624,,
1283,32.11988437,0.090934665,0.003249004,96.63763427733493,4.089974141120911,96.42728680459616,1.41829848249992,0.04070910803597935,0.02493147279423034,0.024931472794230348,,
1284,32.13136356,-0.091576667,0.00301693,15.02386474608372,1.3038038313388824,15.32952101876761,0.8716125692228132,0.0888050544213414,0.07379850004815686,0.07379850004815686,,
1285,32.13397091,0.90223789,0.002445001,,0.2324537180364132,125.77438525266822,0.2272007341598023,0.08139111008515726,0.04670961162159495,0.04675607926974906,,
1286,32.1520191,0.131369542,0.005376244,95.5749549865634,3.28008570174588,94.9433168177268,1.987700851561089,0.03505882309399121,0.02453240618788324,0.02453240618788324,,
1287,32.15373068,-0.278929738,0.003235322,73.04615402220763,1.9626685202121728,72.99859507382284,0.7755983394174919,0.08736119040805777,0.05050724900689465,0.050507249006894524,,
